year,ynew,y,death,inj,magnitude,intensity,location,hour,min,time
1990,28.42884,10,0,0,6.7,8,青海,11,3,11:03
1990,25.585956,9,0,3,4.9,7,四川,11,19,11:19
1990,369.57492,130,2,24,5.1,6,江苏,1,57,1:57
1990,2.842884,1,0,0,5.1,6,云南,5,13,5:13
1990,11.371536,4,0,2,6.4,9,新疆,9,59,9:59
1990,779.7177947,274.27,119,2049,6.9,9,青海,17,37,17:37
1990,52.593354,18.5,0,0,5,6,四川,20,52,20:52
1990,426.4326,150,4,92,6.2,8,甘肃,16,7,16:07
1991,104.457568,38,0,0,5.2,7,四川,17,6,17:06
1991,27.48883367,10,0,5,6.5,7,新疆,22,30,22:30
1991,28.09358801,10.22,0,0,5,6,青海,0,47,0:47
1991,273.843761,99.62,1,521,5.8,7,山西,2,2,2:02
1991,133.375821,48.52,0,21,5.8,7,河北,2,2,2:02
1991,503.0456562,183,2,0,5.5,7,河北,7,6,7:06
1991,140.1930517,51,0,7,5.3,7,云南,14,18,14:18
1991,4.810545893,1.75,0,0,5.6,7,新疆,19,16,19:16
1992,0.129189437,0.05,0,0,5.4,6,甘肃,8,12,8:12
1992,19.50760494,7.55,0,0,5.9,6,新疆,15,47,15:47
1992,222.8001025,86.23,4,44,6.7,7,云南,22,18,22:18
1992,114.1776242,44.19,0,0,6.5,6,西藏,16,24,16:24
1992,437.2545675,169.23,0,292,5,6,福建,18,47,18:47
1992,225.7714596,87.38,0,0,5.1,7,四川,1,39,1:39
1992,48.75609341,18.87,1,142,5.4,6,云南,19,21,19:21
1993,154.7574028,68.7,0,154,6.3,8,云南,4,3,4:03
1993,25.90553322,11.5,0,4,5.3,6,云南,3,29,3:29
1993,1.509278892,0.67,4,0,5.4,6,新疆,0,14,0:14
1993,155.4331993,69,2,3,6.6,8,西藏,22,2,22:02
1993,18.29155911,8.12,0,0,5,6,四川,7,45,7:45
1993,26.85164835,11.92,0,13,5,6,云南,9,4,9:04
1993,46.56238014,20.67,1,14,5.6,6,云南,17,46,17:46
1993,21.06232484,9.35,0,3,5,7,四川,16,36,16:36
1993,68.81861216,30.55,0,152,5.6,7,云南,22,30,22:30
